~Protein~,6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
~Fiber_TD~,6,30,30,30,30,30,30,30,30
~Carbohydrt~,6,310,310,310,310,310,310,310,310
~Sodium~,6,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
~Sugar_Tot~,6,90,90,90,90,90,90,90,90
~FA_Sat~,6,24,24,24,24,24,24,24,24
~Lipid_Tot~,6,70,70,70,70,70,70,70,70
~Calcium~,3,800,800,800,800,800,800,800,800
