~Protein~,1,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
~Fiber_TD~,6,18,18,18,18,18,18,18,18
~Vit_A_RAE~,4,700,700,700,700,700,700,700,700
~Vit_C~,3,40,40,40,40,40,40,40,40
~Folate_Tot~,4,200,200,200,200,200,200,200,200
~Iron~,3,15,15,15,15,9,9,9,9
~Sodium~,6,6,6,6,6,6,6,6,6
~Zinc~,3,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
